央视频道,#genre#
CCTV-1 综合,http://ipipip/rtp/238.1.78.166:7200
CCTV-2 财经,http://ipipip/rtp/238.1.78.235:7752
CCTV-3 综艺,http://ipipip/rtp/238.1.78.170:7232
CCTV-4 中文国际,http://ipipip/rtp/238.1.78.236:7760
CCTV-5 体育,http://ipipip/rtp/238.1.78.171:7240
CCTV-6 电影,http://ipipip/rtp/238.1.78.172:7248
CCTV-7 国防军事,http://ipipip/rtp/238.1.78.239:7784
CCTV-8 电视剧,http://ipipip/rtp/238.1.78.173:7256
CCTV-9 记录,http://ipipip/rtp/238.1.78.240:7792
CCTV-10 科教,http://ipipip/rtp/238.1.78.241:7800
CCTV-11 戏曲,http://ipipip/rtp/238.1.78.206:7502
CCTV-12 社会与法,http://ipipip/rtp/238.1.78.242:7808
CCTV-13 新闻,http://ipipip/rtp/238.1.79.35:4392
CCTV-14 少儿,http://ipipip/rtp/238.1.78.243:7816
CCTV-15 音乐,http://ipipip/rtp/238.1.78.222:7648
CCTV-17 农业农村,http://ipipip/rtp/238.1.78.178:7296
CCTV-5+ 体育赛事,http://ipipip/rtp/238.1.78.237:7768
卫视频道,#genre#
安徽卫视,http://ipipip/rtp/238.1.79.27:4328
安徽卫视,http://ipipip/rtp/238.1.78.150:7072
安徽卫视,http://ipipip/rtp/238.1.78.137:6968
北京卫视,http://ipipip/rtp/238.1.78.162:7168
天津卫视,http://ipipip/rtp/238.1.78.20:6088
河北卫视,http://ipipip/rtp/238.1.78.245:7832
江苏卫视,http://ipipip/rtp/238.1.78.165:7192
东方卫视,http://ipipip/rtp/238.1.78.163:7176
浙江卫视,http://ipipip/rtp/238.1.78.164:7184
东南卫视,http://ipipip/rtp/238.1.78.22:6104
广东卫视,http://ipipip/rtp/238.1.78.161:7160
深圳卫视,http://ipipip/rtp/238.1.78.156:7120
贵州卫视,http://ipipip/rtp/238.1.78.244:7824
四川卫视,http://ipipip/rtp/238.1.78.30:6168
重庆卫视,http://ipipip/rtp/238.1.78.31:6176
海南卫视,http://ipipip/rtp/238.1.79.49:4504
河南卫视,http://ipipip/rtp/238.1.79.65:4632
黑龙江卫视,http://ipipip/rtp/238.1.78.159:7144
湖北卫视,http://ipipip/rtp/238.1.78.168:7216
湖南卫视,http://ipipip/rtp/238.1.78.160:7152
吉林卫视,http://ipipip/rtp/238.1.79.48:4496
江西卫视,http://ipipip/rtp/238.1.78.26:6136
辽宁卫视,http://ipipip/rtp/238.1.78.21:6096
内蒙古卫视,http://ipipip/rtp/238.1.78.153:7096
宁夏卫视,http://ipipip/rtp/238.1.79.4:4144
山东卫视,http://ipipip/rtp/238.1.78.169:7224
陕西卫视,http://ipipip/rtp/238.1.78.157:7128
甘肃卫视,http://ipipip/rtp/238.1.79.36:4400
西藏卫视,http://ipipip/rtp/238.1.79.1:4120
新疆卫视,http://ipipip/rtp/238.1.79.2:4128
兵团卫视,http://ipipip/rtp/238.1.79.3:4136
安徽频道,#genre#
安徽公共,http://ipipip/rtp/238.1.79.43:4456
安徽经济生活,http://ipipip/rtp/238.1.79.44:4464
安徽影视,http://ipipip/rtp/238.1.79.42:4448
安徽农业·科教,http://ipipip/rtp/238.1.79.40:4432
安徽综艺·体育,http://ipipip/rtp/238.1.79.41:4440
安徽国际,http://ipipip/rtp/238.1.78.61:6360
合肥新闻,http://ipipip/rtp/238.1.78.111:6760
肥西新闻综合,http://ipipip/rtp/238.1.78.185:7352
滁州新闻综合,http://ipipip/rtp/238.1.78.132:6928
滁州科教,http://ipipip/rtp/238.1.78.134:6944
繁昌新闻综合,http://ipipip/rtp/238.1.78.190:7392
南陵新闻综合,http://ipipip/rtp/238.1.78.189:7384
安庆新闻综合,http://ipipip/rtp/238.1.78.117:6808
安庆经济生活,http://ipipip/rtp/238.1.78.118:6816
桐城综合,http://ipipip/rtp/238.1.78.28:6152
太湖新闻综合,http://ipipip/rtp/238.1.79.12:4208
黄山新闻综合,http://ipipip/rtp/238.1.78.130:6912
黄山文旅,http://ipipip/rtp/238.1.78.131:6920
祁门综合,http://ipipip/rtp/238.1.79.14:4224
泾县新闻综合,http://ipipip/rtp/238.1.78.217:7608
郎溪新闻综合,http://ipipip/rtp/238.1.78.214:7584
绩溪新闻,http://ipipip/rtp/238.1.78.218:7616
池州新闻综合,http://ipipip/rtp/238.1.78.147:7048
义安新闻综合,http://ipipip/rtp/238.1.78.211:7560
六安综合,http://ipipip/rtp/238.1.78.144:7024
六安社会生活,http://ipipip/rtp/238.1.78.145:7032
霍山综合,http://ipipip/rtp/238.1.78.220:7632
霍邱新闻综合,http://ipipip/rtp/238.1.78.119:6824
淮南新闻综合,http://ipipip/rtp/238.1.78.113:6776
寿县综合,http://ipipip/rtp/238.1.78.146:7040
淮北新闻综合,http://ipipip/rtp/238.1.78.135:6952
泗县新闻,http://ipipip/rtp/238.1.78.193:7416
阜阳新闻综合,http://ipipip/rtp/238.1.78.124:6864
阜阳生活,http://ipipip/rtp/238.1.78.125:6872
