央视频道,#genre#
CCTV1,http://ipipip/udp/239.76.253.151:9000
CCTV1,http://ipipip/udp/239.76.246.151:1234
CCTV2,http://ipipip/udp/239.76.253.152:9000
CCTV2,http://ipipip/udp/239.76.246.152:1234
CCTV3,http://ipipip/udp/239.76.253.153:9000
CCTV3,http://ipipip/udp/239.76.246.153:1234
CCTV4,http://ipipip/udp/239.76.245.195:1234
CCTV4,http://ipipip/udp/239.76.246.154:1234
CCTV4,http://ipipip/udp/239.76.253.154:9000
CCTV4欧洲,http://ipipip/udp/239.76.246.95:1234
CCTV4欧洲,http://ipipip/udp/239.76.253.95:9000
CCTV4美洲,http://ipipip/udp/239.76.253.96:9000
CCTV4美洲,http://ipipip/udp/239.76.246.96:1234
CCTV5,http://ipipip/udp/239.76.253.155:9000
CCTV5,http://ipipip/udp/239.76.246.155:1234
CCTV5,http://ipipip/udp/239.76.254.214:9000
CCTV5+,http://ipipip/udp/239.76.246.168:1234
CCTV5+,http://ipipip/udp/239.76.254.215:9000
CCTV6,http://ipipip/udp/239.76.253.156:9000
CCTV6,http://ipipip/udp/239.76.246.156:1234
CCTV7,http://ipipip/udp/239.76.253.157:9000
CCTV7,http://ipipip/udp/239.76.246.157:1234
CCTV8,http://ipipip/udp/239.76.253.158:9000
CCTV8,http://ipipip/udp/239.76.246.158:1234
CCTV9,http://ipipip/udp/239.76.246.159:1234
CCTV9,http://ipipip/udp/239.76.253.159:9000
CCTV10,http://ipipip/udp/239.76.253.160:9000
CCTV10,http://ipipip/udp/239.76.246.160:1234
CCTV11,http://ipipip/udp/239.76.245.251:1234
CCTV11,http://ipipip/udp/239.76.252.251:9000
CCTV12,http://ipipip/udp/239.76.246.162:1234
CCTV12,http://ipipip/udp/239.76.253.162:9000
CCTV13,http://ipipip/udp/239.76.253.93:9000
CCTV13,http://ipipip/udp/239.76.246.93:1234
CCTV14,http://ipipip/udp/239.76.246.164:1234
CCTV14,http://ipipip/udp/239.76.253.164:9000
CCTV15,http://ipipip/udp/239.76.252.252:9000
CCTV15,http://ipipip/udp/239.76.245.252:1234
CCTV16,http://ipipip/udp/239.76.253.98:9000
CCTV16,http://ipipip/udp/239.76.246.98:1234
CCTV17,http://ipipip/udp/239.76.252.238:9000
CCTV17,http://ipipip/udp/239.76.245.238:1234
CGTN,http://ipipip/udp/239.76.245.66:1234
CGTN,http://ipipip/udp/239.76.252.66:9000
CGTN纪录,http://ipipip/udp/239.76.245.67:1234
CGTN纪录,http://ipipip/udp/239.76.252.67:9000
CGTN阿语,http://ipipip/udp/239.76.253.97:9000
CGTN阿语,http://ipipip/udp/239.76.246.97:1234
CGTN俄语,http://ipipip/udp/239.76.246.86:1234
CGTN俄语,http://ipipip/udp/239.76.253.86:9000
CGTN西语,http://ipipip/udp/239.76.253.88:9000
CGTN西语,http://ipipip/udp/239.76.246.88:1234
CGTN法语,http://ipipip/udp/239.76.246.87:1234
CGTN法语,http://ipipip/udp/239.76.253.87:9000
CHC影迷电影,http://ipipip/udp/239.76.245.242:1234
CHC影迷电影,http://ipipip/udp/239.76.252.242:9000
CHC家庭影院,http://ipipip/udp/239.76.245.241:1234
CHC家庭影院,http://ipipip/udp/239.76.252.241:9000
CHC动作电影,http://ipipip/udp/239.76.252.243:9000
CHC动作电影,http://ipipip/udp/239.76.245.243:1234
第一剧场,http://ipipip/udp/239.76.254.49:9000
风云剧场,http://ipipip/udp/239.76.254.50:9000
